ProviderID,DepartmentID,ProviderType,Specialty,HireDate,ActiveFlag
PRV099,DEP017,Physician Assistant,Family Medicine,03-05-2017,1
PRV100,DEP008,Physician,Internal Medicine,31-03-2018,1
PRV101,DEP007,Physician,Emergency Medicine,20-11-2022,0
PRV102,DEP007,Physician,Emergency Medicine,21-10-2016,1
PRV103,DEP022,Physician,Pediatrics,04-02-2024,1
PRV104,DEP002,Physician,Internal Medicine,19-12-2014,1
PRV105,DEP014,Nurse Practitioner,Cardiology,21-10-2024,1
PRV106,DEP019,Physician,Endocrinology,03-12-2024,1
PRV107,DEP003,Physician,Cardiology,08-08-2022,1
PRV108,DEP018,Physician,Psychiatry,13-06-2017,0
PRV109,DEP024,Physician,Pulmonology,10-08-2022,1
PRV110,DEP022,Physician,Pediatrics,16-02-2021,1
PRV111,DEP004,Physician,Neurology,08-04-2016,1
PRV112,DEP003,Physician Assistant,Cardiology,11-02-2014,1
PRV113,DEP005,Physician,Orthopedics,05-03-2014,1
PRV114,DEP008,Nurse Practitioner,Internal Medicine,01-09-2021,1
PRV115,DEP008,Physician Assistant,Internal Medicine,12-12-2019,1
PRV116,DEP009,Physician,Cardiology,01-07-2021,1
PRV117,DEP024,Nurse Practitioner,Pulmonology,21-03-2021,0
PRV118,DEP001,Physician,Emergency Medicine,22-06-2022,1
PRV119,DEP004,Physician,Neurology,19-03-2013,0
PRV120,DEP021,Physician,Family Medicine,17-03-2014,1
